,content,score
285,Tidak ada fitur syariah yg sulit utk menghindari obligasi,3
286,Tambah ovooo,5
287,"Semenjak di update, loginnya jadi lama. Harus hapus cache dulu. Btw jadilah aplikasi yang bisa beli saham juga.. pusing saya kebanyakan aplikasi haha.",2
288,I don't think you can make profit if you're investing in not so much money which is ironic since you can buy one as low as Rp10.000. I bought reksadana with pencairan instant mark and yet I still cant sell all my reksadana straight to my Bank Jago. You should be more clear telling user about the rules of using pencairan instant before user can buy it so that their money is not trapped in the app. I will never use this app again.,1
289,"Kok masuknya susah sih, harus nunggu lama bet, kadang gak bisa masuk...gak kaya kemarin2, tolong dong diperbaiki app nya",2
290,goood,5
291,good,5
292,Ada fitur dark mode dong min. Silau nih kalo malem,4
293,"Aplikasinya bagus, tampilannya agak sulit untuk pemula, tapi prosesnya mudah. Untuk penarikan dana nya lumayan lama bida semingguan",5
294,It would be great if you add a gold investment product.,3
295,CSnya sat set sat set mantap 😎😎😎❤️❤️,5
296,karya anak bangsa 👍👍,5
297,Investasi aman diawasi OJK 👍,5
298,"nice app bangett buat pemula yang gamau ribet mikir invest harus gimana, harus apa..",5
299,Udah -+ 2 tahun registrasi gak kelar2,3
300,"aplikasinya gampang dipakai, banyak promo Dan terpercaya",5
301,good for investing,5
302,ok,5
303,easy to use and very fast support. investing in market is becoming easy.,5
304,"USE KODE REFF ( 𝐃 𝐀 𝐍 𝐀 𝟐 𝟐 ) no space..Never thought investing would be this easy, just like sat set sat set, You already start your very first investment. What an apps!! Good luck on you financial goals, guys Keep up the good works, Bibit! Hoping in the future this apps would be more practical and have a good improvement on articles, news and the features to make it easier for the user to understand about investing and mutual funds",5
305,"Knapa aplikasi nya gk bisa kebuka, padahal paket ada cuma kluar logo bibit, pake wifi pun ttp sama",1
306,"Bagi teman-teman yang ingin mencoba belajar investasi dengan dana minimal, investasi reksadana melalui Bibit bisa jadi pilihan lho. Jangan lupa masukkan kode referral ✔winny5✔untuk dapat cashback 50.000, buat investasi pertama~ selamat mencoba 😊😊 sangat mudah untuk para pemula. 👌👌",5
307,"Setelah kominfo blokir banyak situs, kok saya jdi susah masuk ke apk bibit ya? Apa ke block juga? Stuck di logo bibit",1
308,"Please update app, saya gak masuk app nya",3
309,"aplikasi yg luar biasa. simple utk investor pemula, jujur dan mantab deh pkoknya",5
310,Not recommended,1
311,Best app invest,5
312,"Splash screennya lama sekali hampir 1 menit di hp dengan ram 8gb, sudah diupdate ttp saja lama, alasan internet saya tdk stabil pdhl untuk buka aplikasi lain tidak ada masalah",1
313,"Dapat bintang 5 kalau ada dark mode nya, ayo dong min, update untuk dark modenya. Ga perlu hitam pekat untuk amoled, yang penting ga silau aja kalau malam.",4
314,The service is not good because they only apologize without giving any compensation. Better choose another applications,1
315,Mantep buat para pemula,5
316,Input referral oyen17 biar dpt cashback🤩,5
317,Good financial,5
318,need more guide & mentor for user,4
319,saran saya diberi pin sebelum masuk ke aplikasi ya,3
320,"Tolong dong, bikin buka investasi saham benua asia khsususnya jepang sama korea yang negara industri... Bingung mau investasi merk bandai, sony, honda harus kemana. Nama saham disini ga ada yg dikenal anjir. Mau naro duit juga ogah kalo ga kenal produknya.",1
321,sengat mudah dipahami,5
322,greatt,5
323,Banyak cb mayan cuy,5
324,Ada wallet untuk pencarian,1
325,I loved making my passive income with you. Hope our relationship long lasting:),5
326,Notifikasi promo cashback/challenge nabung rutin selalu muncul 1 hari setelah tanggal promo/challenge berakhir,3
327,Optionally,4
328,aplikasi terbaik... mudah dipahami bagi pemula.. Terima kasih Bibit 😊,5
329,Aplikasi yang bagus untuk belajar investasi terutama reksadana,5
330,Duh lama bgt ya pencairan ke rekening alias narik. Udah 4 hari ini,2
331,"Pelayanan Bibit begitu ""memaafkan pengguna"". Saya coba mencairkan uang dari Reksadana, tapi saya keliru mencairkannya ke akun bank lama saya yg sudah tidak aktif. Bibit nge-WA saya untuk mengingatkan dan memandu saya bagaimana menyelesaikan masalah ini.",5
332,This app really helpful and useful for beginner like me,4
333,"Proses belinya lama, lbh lama dr apps sejenis lainnya, proses jual apalagi, imbal hasil ga sesuai yg ditampilin, promonya menipu, pokoknya unsatisfied pake bibit",1
334,"good app but kalo pencairan lama sekali, jadi bingung pas butuh dana darurat gak bisa hari itu juga cair",1
335,"Tergiur ikut bibit krn promo jago nya, tp kecewa. Krn benefit nya ga bs dapet, krn diinfokan ada step yg tidak dilakukan. Invest nya sampai saat ini masih minus, but it's ok, itu sdh resiko. Tp yg mau join hati2 dg promo2 nya.",1
336,good app and smart people ambassador,5
337,Gimana sih ga bisa di buka. Trus ada tulisan mode debug. maksudnya gimana ?? lg down lah servernya ?,3
338,good,4
339,tiba tiba setiap dibuka force close terus sehingga tidak bisa digunakan,2
340,"nice app, user friendly, easy to operate",5
341,Bismillah aman nabung disini,5
342,Jualnya lama bgt bisa seminggu,3
343,"Platform investasi terbaik sampai saat ini. No-nonsense, hassle-free integrated customer oriented screen flow guided processes. Two thumbs up.",5
344,Update return kl ga d protes ga bakal d update y 😠😡,1
345,"Setiap pembayaran pake bank jago gagal terus ""ups ada sekrup yang lepas"" kenapa yaa?",5
346,Platform investasi Reksadana online terbaik saat ini 👍,5
347,"Keren dan fitur²nya lengkap, cocok bgt buat kalian investor pemula yg mau coba investasi reksadana",5
348,cuanbiarjadikaya pake kode ini biar dapet cashback 25k,5
349,"Mau saran, tambahin fitur dark mode jadi kalo pas buka malem-malem ga kaya kena bom flashbang putih terang bgt, Thank u!",5
350,Super easy to use,5
351,"Aplikasi investasi kekinian💯 masukkan kode referral ( *tanampakaibibit* ) untuk mendapatkan FREE CASHBACK Rp.25,000.00 buat tambahan modal investasimu🔥🔥🔥",5
352,Tidak merekomendasikan BIBIT untuk para pemula yg mau belajar berinvestasi. BAREKSA JAUH LEBIH BAIK. SEGERA DOWNLOAD BAREKSA 👍 DANA di BAREKSA 4-5 HARI KERJA SUDAH BISA CAIR. sedangkan dana di BIBIT sudah hampir 1 bulan BELUM CAIR JUGA!!!! DOA SEMOGA KALIAN BANGKRUT BENAR-BENAR SUDAH DI UJUNG MULUT!!!!! 😡😡😡😡,1
353,Dear Bibit developer and team Sir.Invest money very important. Sincery Adam,5
354,Alright,5
355,"Ngeribetin harus matiin debug mode, padahal sebelumnya bisa.",1
356,"After update, stuck and cant open, already clear cache but nothing happen, please fix this !!",2
357,"Suddenly i cant open the app, whats going on??",5
358,"Platform investasi di sektor reksadana yang baik sekali, terutama untuk pemula. Menurut saya UI-nya udah enak banget dan udah cepat semuanya. Recommended!",5
359,"Yakin nih product owner nya buat app ini ga bisa dibuka kalo device nya dalam keadaan debug mode on? Kasian mobile developer dong yang pake bibit, harus switching debug mode nya. Kalah dong sama app bank. Jelas2 debug mode on ga ada hubungan sama security, kecuali yg develop app nya kurang knowledge",1
360,money 🦧,5
361,verifikasi berbelit.. org sudah foto selfie pakai ktp yg di tablet(digital) karena fisik ktp hilang. disuruh selfie sama print out ktp nya.. skrg apa beda nya print out sama di digital? ya ampun mbak masbro.. ckckckckc uninstall.. bye,1
362,"Sering Spam notif, SABAR!!!, belum juga ada uangnya buat inves, ""tAPi kAn BisA mUlaI 100k"" Saya tau tapi jangan spam notif",2
363,"Untuk pembayaran lewat apk dana gak ada, kalo bisa adakanlah melakukan pembayaran bisa lwt apk dana juga",4
364,So far so good.,5
365,okeoke,5
366,"Never thought investing would be this easy, just like sat set sat set, VOILA!!! You already start your very first investment. What an apps!! Good luck on you financial goals, guys Keep up the good works, Bibit! Hoping in the future this apps would be more practical and have a good improvement on articles, news and the features to make it easier for the user to understand about investing and mutual funds",5
367,kerenn di bibit itu ada pilihan sesuai profil risikonya jd enak buat yg awam trs reksadananya udh dipilihin sama robo jd lumayan ngebantu. Kl mau dapet tambahan 25 ribu bisa pake kode referral ku [ ayomulaibelajar ] Semoga membantu!,5
368,Yuk nabung yuk buat masa depan pake referral ini yaaaa : mochammad77,5
